year,name,total_usage
1956,Greg,1579
1984,Greg,338
1955,Greg,1149
1986,Greg,214
1992,Greg,114
1989,Greg,177
2008,Greg,30
1999,Greg,41
1940,Greg,21
1976,Greg,843
1951,Greg,703
1996,Greg,61
1970,Greg,1999
2005,Greg,40
1942,Greg,60
1952,Greg,743
1983,Greg,387
1948,Greg,1160
1965,Greg,3178
1987,Greg,229
1968,Greg,2032
1945,Greg,313
2015,Greg,9
1979,Greg,547
1961,Greg,5390
2007,Greg,30
2000,Greg,39
1946,Greg,756
1997,Greg,38
1994,Greg,95
1971,Greg,1686
1943,Greg,105
1998,Greg,56
1982,Greg,397
2006,Greg,35
1985,Greg,276
1953,Greg,757
1937,Greg,7
2009,Greg,21
1974,Greg,1086
1939,Greg,18
1988,Greg,123
1964,Greg,3973
2013,Greg,26
2010,Greg,14
1957,Greg,2963
1977,Greg,810
2012,Greg,9
1990,Greg,145
2004,Greg,45
1981,Greg,425
1941,Greg,24
1959,Greg,4636
1944,Greg,138
1960,Greg,5089
1975,Greg,934
1967,Greg,2086
2016,Greg,15
1963,Greg,4840
1991,Greg,84
1966,Greg,2449
1972,Greg,1422
1954,Greg,926
2002,Greg,33
1980,Greg,528
1958,Greg,3786
1947,Greg,1295
1938,Greg,13
1949,Greg,835
2001,Greg,45
1962,Greg,5367
1978,Greg,681
2011,Greg,16
1936,Greg,7
1950,Greg,766
1969,Greg,1971
1973,Greg,1286
2003,Greg,29
1994,Ryan,24371
1975,Ryan,15369
2004,Ryan,20142
1953,Ryan,86
1990,Ryan,29652
1950,Ryan,43
1973,Ryan,10548
1959,Ryan,368
1989,Ryan,28929
2010,Ryan,12389
2005,Ryan,18624
1976,Ryan,17604
1980,Ryan,25366
1999,Ryan,21427
2011,Ryan,11954
1984,Ryan,29209
2008,Ryan,15213
1998,Ryan,20625
1972,Ryan,8898
1993,Ryan,27011
1985,Ryan,30437
1995,Ryan,23404
2017,Ryan,8394
2006,Ryan,17077
1971,Ryan,6196
1946,Ryan,17
2000,Ryan,20672
1960,Ryan,326
1974,Ryan,13259
1961,Ryan,341
1982,Ryan,27246
1955,Ryan,129
2015,Ryan,9149
1978,Ryan,21882
1968,Ryan,2162
1957,Ryan,242
1967,Ryan,1916
1949,Ryan,55
2009,Ryan,13598
1981,Ryan,27462
1952,Ryan,71
2001,Ryan,18709
1979,Ryan,23737
1996,Ryan,22136
1947,Ryan,50
1992,Ryan,27352
2003,Ryan,20125
1969,Ryan,2250
1977,Ryan,21585
1951,Ryan,57
1958,Ryan,259
2012,Ryan,11364
1966,Ryan,1557
1987,Ryan,29148
2013,Ryan,10260
1962,Ryan,355
1970,Ryan,2321
1986,Ryan,30168
1991,Ryan,27898
1956,Ryan,150
1983,Ryan,28428
1988,Ryan,28314
1997,Ryan,20841
1965,Ryan,1067
1963,Ryan,615
2007,Ryan,16381
2002,Ryan,18144
1964,Ryan,472
1948,Ryan,17
2016,Ryan,8887
2014,Ryan,9649
2009,David,15433
1943,David,37296
1977,David,40745
2010,David,14196
1957,David,82460
1983,David,39469
1960,David,86084
1996,David,23042
2008,David,16318
2011,David,13222
1915,David,5393
1946,David,46493
1920,David,7450
1971,David,53315
1956,David,81696
1985,David,38750
1917,David,6100
1998,David,20896
1924,David,8761
2013,David,12348
2017,David,10124
1973,David,41283
1918,David,6631
1976,David,39460
1970,David,61990
1982,David,40646
1925,David,8923
1930,David,12306
1944,David,37431
1910,David,1243
1964,David,75245
1986,David,37358
2015,David,11788
1992,David,28481
1981,David,40836
1928,David,10005
1939,David,25398
1947,David,57853
2001,David,19356
1916,David,5808
1997,David,21891
1942,David,35947
1963,David,78644
2000,David,19789
1962,David,81548
1932,David,12143
2007,David,17542
1941,David,30577
1913,David,3278
1927,David,9435
1955,David,86339
1966,David,66604
2004,David,18420
1929,David,11329
1934,David,14017
1968,David,63941
1975,David,39356
2006,David,17627
1937,David,21000
1988,David,35503
1936,David,17483
1921,David,7777
1999,David,20336
1979,David,42304
1993,David,27073
1969,David,63945
2002,David,18685
1935,David,15672
2005,David,18122
1933,David,12038
1940,David,27719
1945,David,37126
1954,David,79635
1959,David,84101
1938,David,22999
1965,David,68029
1994,David,24904
1995,David,23070
1950,David,60805
1914,David,4251
1923,David,8240
1984,David,38659
2016,David,11089
1989,David,35303
1922,David,7868
1931,David,11786
1961,David,84938
1978,David,40873
1980,David,42179
1919,David,6719
1990,David,33818
1958,David,82729
2012,David,12530
1951,David,64864
1953,David,76189
1972,David,46555
1911,David,1535
1926,David,9046
1967,David,67046
2003,David,18625
1949,David,59668
1912,David,2851
1991,David,30468
1974,David,41983
1948,David,56685
2014,David,12195
1987,David,36988
1952,David,71858
1994,Randy,1638
1972,Randy,3744
1935,Randy,13
1968,Randy,5729
1961,Randy,12699
1984,Randy,2911
1989,Randy,2607
1997,Randy,1341
1949,Randy,3729
1946,Randy,1667
1954,Randy,12774
1940,Randy,136
1948,Randy,3238
1973,Randy,3355
1941,Randy,151
1936,Randy,13
1944,Randy,776
1962,Randy,11942
1959,Randy,15151
1986,Randy,2733
1950,Randy,4481
1953,Randy,10817
1947,Randy,2543
1993,Randy,1697
1963,Randy,10588
1991,Randy,2152
1965,Randy,8931
1990,Randy,2481
2008,Randy,1085
2017,Randy,333
1939,Randy,80
1938,Randy,49
1977,Randy,3401
1983,Randy,2933
1979,Randy,3423
1970,Randy,5044
2003,Randy,908
1999,Randy,1116
1964,Randy,10356
1945,Randy,1086
2006,Randy,1025
1952,Randy,8848
1971,Randy,4369
2007,Randy,977
1978,Randy,3222
1998,Randy,1236
1943,Randy,562
2005,Randy,1057
1969,Randy,5290
1982,Randy,3237
1980,Randy,3402
2004,Randy,942
1956,Randy,16693
2012,Randy,660
1967,Randy,6831
1966,Randy,7807
1955,Randy,15101
1974,Randy,3348
1937,Randy,34
2001,Randy,1021
1987,Randy,2789
1960,Randy,14318
2014,Randy,493
2009,Randy,965
1988,Randy,2716
1951,Randy,6204
1981,Randy,3336
1996,Randy,1502
2010,Randy,839
1957,Randy,16558
2011,Randy,810
2016,Randy,387
1995,Randy,1487
1975,Randy,3389
1958,Randy,15257
2013,Randy,605
1942,Randy,344
1985,Randy,2891
1992,Randy,2002
2002,Randy,985
2015,Randy,455
1976,Randy,3326
2000,Randy,1115
1910,Steve,196
1923,Steve,1208
2004,Steve,423
1962,Steve,9168
2016,Steve,147
2010,Steve,230
1917,Steve,1357
1928,Steve,896
1916,Steve,1355
1977,Steve,1258
1963,Steve,8047
1939,Steve,1182
1994,Steve,672
1951,Steve,4040
1957,Steve,8918
1950,Steve,4191
1940,Steve,1538
1967,Steve,3910
1990,Steve,968
1998,Steve,595
1960,Steve,10655
1966,Steve,4624
1999,Steve,615
1942,Steve,2353
1972,Steve,1835
2017,Steve,132
1995,Steve,710
1919,Steve,1270
2011,Steve,270
1952,Steve,4318
1996,Steve,604
1931,Steve,757
1945,Steve,3371
1932,Steve,760
1981,Steve,1095
1944,Steve,2810
2012,Steve,255
1993,Steve,795
1969,Steve,3072
1955,Steve,5515
2013,Steve,185
2008,Steve,377
1913,Steve,623
2006,Steve,422
1980,Steve,1193
1934,Steve,753
1959,Steve,11072
1964,Steve,7089
1987,Steve,964
1982,Steve,979
1930,Steve,815
1975,Steve,1376
1979,Steve,1228
1918,Steve,1485
1970,Steve,2929
2015,Steve,170
1954,Steve,5059
1927,Steve,995
2003,Steve,512
1924,Steve,1194
1912,Steve,492
1911,Steve,210
1915,Steve,1298
1988,Steve,906
1992,Steve,828
1943,Steve,2668
1922,Steve,1243
1935,Steve,751
1974,Steve,1435
1920,Steve,1243
1968,Steve,3409
1914,Steve,966
1949,Steve,5025
1937,Steve,823
1946,Steve,4560
2000,Steve,608
1956,Steve,6476
1976,Steve,1380
1985,Steve,949
2009,Steve,363
2001,Steve,591
1983,Steve,1032
2014,Steve,190
1961,Steve,9991
2002,Steve,503
1926,Steve,1029
1989,Steve,968
1947,Steve,6227
1984,Steve,1004
1965,Steve,5687
1978,Steve,1200
1991,Steve,835
1933,Steve,696
1938,Steve,1062
1936,Steve,705
1925,Steve,1127
1941,Steve,1860
1971,Steve,2367
2007,Steve,386
1948,Steve,5741
1986,Steve,947
1958,Steve,10094
1973,Steve,1491
1929,Steve,844
1953,Steve,4522
2005,Steve,430
1997,Steve,573
1921,Steve,1258
2013,Terry,389
1924,Terry,141
2000,Terry,826
1928,Terry,253
2011,Terry,442
2007,Terry,579
1997,Terry,1030
2004,Terry,624
1995,Terry,1150
1980,Terry,3203
1956,Terry,20319
1933,Terry,646
2010,Terry,482
1959,Terry,19761
2002,Terry,671
2005,Terry,662
1977,Terry,3687
1966,Terry,10146
1991,Terry,1754
1964,Terry,13762
1970,Terry,7274
1930,Terry,355
1983,Terry,2629
2015,Terry,352
2006,Terry,572
1955,Terry,20934
1920,Terry,107
2008,Terry,556
1932,Terry,486
1985,Terry,2493
1973,Terry,4982
1947,Terry,15027
2001,Terry,778
1937,Terry,1857
1950,Terry,13950
1941,Terry,3987
1993,Terry,1450
1940,Terry,3281
1952,Terry,15473
1967,Terry,9265
2017,Terry,316
1935,Terry,1062
1939,Terry,2696
1925,Terry,217
1975,Terry,4429
1914,Terry,31
1994,Terry,1199
1974,Terry,4502
1926,Terry,208
1965,Terry,11091
1963,Terry,15982
2012,Terry,442
1953,Terry,16626
1979,Terry,3269
1981,Terry,2974
1913,Terry,34
1949,Terry,14243
1948,Terry,14396
1936,Terry,1410
1919,Terry,58
1968,Terry,8466
1942,Terry,5597
1987,Terry,2180
1945,Terry,7749
1929,Terry,259
1943,Terry,6632
1927,Terry,240
1934,Terry,788
1978,Terry,3315
1923,Terry,126
1918,Terry,87
1972,Terry,5483
1960,Terry,18751
1951,Terry,15258
1992,Terry,1628
1986,Terry,2307
1954,Terry,20340
1984,Terry,2433
2016,Terry,361
1922,Terry,127
1996,Terry,1089
1915,Terry,76
1916,Terry,42
1946,Terry,12581
2009,Terry,446
2003,Terry,641
1958,Terry,20317
1971,Terry,6814
1921,Terry,126
1976,Terry,4009
1989,Terry,2060
1990,Terry,1950
1957,Terry,20865
1969,Terry,7637
1931,Terry,313
1988,Terry,2131
1961,Terry,17549
2014,Terry,391
1944,Terry,6857
1917,Terry,64
1999,Terry,883
1938,Terry,2537
1912,Terry,14
1982,Terry,2933
1962,Terry,16331
1998,Terry,961
1989,Andrew,34896
1992,Andrew,30591
1976,Andrew,13323
1990,Andrew,33709
2002,Andrew,22024
2016,Andrew,9376
1915,Andrew,3562
1962,Andrew,8711
1926,Andrew,3333
1977,Andrew,16063
1956,Andrew,6594
2003,Andrew,22157
1968,Andrew,10584
1960,Andrew,8209
1939,Andrew,2432
1924,Andrew,3748
2001,Andrew,22421
2017,Andrew,8215
1996,Andrew,25244
1938,Andrew,2395
1955,Andrew,6015
1954,Andrew,5646
1971,Andrew,10942
1975,Andrew,12784
1963,Andrew,9526
1961,Andrew,8480
1934,Andrew,2443
1922,Andrew,3795
1984,Andrew,26014
1949,Andrew,4512
2010,Andrew,14236
1940,Andrew,2424
2009,Andrew,14858
1921,Andrew,4010
1910,Andrew,845
2008,Andrew,16761
1912,Andrew,1922
1987,Andrew,36375
1933,Andrew,2329
1941,Andrew,2693
1916,Andrew,3716
1918,Andrew,4134
1993,Andrew,27342
1985,Andrew,30324
1950,Andrew,4926
1959,Andrew,7092
