year,name,total_usage
1986,Ryan,30168
1998,Ryan,20625
1972,Ryan,8898
1952,Ryan,71
1991,Ryan,27898
1993,Ryan,27011
1956,Ryan,150
1981,Ryan,27462
1994,Ryan,24371
2001,Ryan,18709
1979,Ryan,23737
1983,Ryan,28428
1996,Ryan,22136
1985,Ryan,30437
1995,Ryan,23404
1975,Ryan,15369
2004,Ryan,20142
1988,Ryan,28314
2017,Ryan,8394
2006,Ryan,17077
1997,Ryan,20841
1971,Ryan,6196
1953,Ryan,86
1947,Ryan,50
1992,Ryan,27352
1965,Ryan,1067
1963,Ryan,615
1990,Ryan,29652
2000,Ryan,20672
1960,Ryan,326
2007,Ryan,16381
2003,Ryan,20125
1969,Ryan,2250
1974,Ryan,13259
1977,Ryan,21585
2002,Ryan,18144
1961,Ryan,341
1982,Ryan,27246
1964,Ryan,472
1955,Ryan,129
2015,Ryan,9149
1958,Ryan,259
1951,Ryan,57
1968,Ryan,2162
1978,Ryan,21882
1973,Ryan,10548
1950,Ryan,43
1967,Ryan,1916
1957,Ryan,242
2012,Ryan,11364
1959,Ryan,368
1989,Ryan,28929
1966,Ryan,1557
1954,Ryan,77
2016,Ryan,8887
1987,Ryan,29148
1949,Ryan,55
2014,Ryan,9649
2010,Ryan,12389
2009,Ryan,13598
2005,Ryan,18624
1976,Ryan,17604
1980,Ryan,25366
1999,Ryan,21427
2011,Ryan,11954
1962,Ryan,355
1984,Ryan,29209
2008,Ryan,15213
1970,Ryan,2321
1945,Andrew,2995
1989,Andrew,34896
1998,Andrew,23667
2009,Andrew,14858
1921,Andrew,4010
1992,Andrew,30591
1927,Andrew,3444
1972,Andrew,10125
1976,Andrew,13323
1910,Andrew,845
1957,Andrew,6986
2008,Andrew,16761
1920,Andrew,4019
1914,Andrew,2957
1932,Andrew,2636
1912,Andrew,1922
1936,Andrew,2265
1987,Andrew,36375
1913,Andrew,2204
1979,Andrew,18707
1946,Andrew,3750
1990,Andrew,33709
2002,Andrew,22024
2012,Andrew,12617
2014,Andrew,11151
1925,Andrew,3605
1933,Andrew,2329
1966,Andrew,10242
2016,Andrew,9376
1944,Andrew,3046
1915,Andrew,3562
1942,Andrew,3135
1941,Andrew,2693
2006,Andrew,19718
1916,Andrew,3716
1994,Andrew,26035
1993,Andrew,27342
1935,Andrew,2282
1983,Andrew,25705
1995,Andrew,25873
1918,Andrew,4134
1962,Andrew,8711
1980,Andrew,19782
2005,Andrew,20727
1926,Andrew,3333
2011,Andrew,13272
1977,Andrew,16063
1985,Andrew,30324
1956,Andrew,6594
2003,Andrew,22157
1968,Andrew,10584
1950,Andrew,4926
1924,Andrew,3748
1978,Andrew,16774
1964,Andrew,10499
1939,Andrew,2432
2001,Andrew,22421
1951,Andrew,5378
1960,Andrew,8209
1991,Andrew,31583
1959,Andrew,7092
1911,Andrew,1066
1947,Andrew,4338
1974,Andrew,11797
2017,Andrew,8215
1996,Andrew,25244
1988,Andrew,35893
1931,Andrew,2711
1970,Andrew,12022
1929,Andrew,3077
1919,Andrew,3855
1938,Andrew,2395
2000,Andrew,23639
1999,Andrew,23862
1973,Andrew,10740
1954,Andrew,5646
1955,Andrew,6015
2007,Andrew,18446
1971,Andrew,10942
2004,Andrew,21775
1967,Andrew,9981
1975,Andrew,12784
2015,Andrew,10096
1963,Andrew,9526
1953,Andrew,5623
1961,Andrew,8480
1934,Andrew,2443
1965,Andrew,9686
1922,Andrew,3795
1937,Andrew,2389
1952,Andrew,5574
1923,Andrew,3740
1984,Andrew,26014
1969,Andrew,11290
1986,Andrew,34021
1997,Andrew,25212
1948,Andrew,4303
1982,Andrew,22951
1917,Andrew,3739
1949,Andrew,4512
2010,Andrew,14236
1930,Andrew,3053
1958,Andrew,7110
1940,Andrew,2424
1943,Andrew,3339
2013,Andrew,11649
1981,Andrew,20295
1928,Andrew,3142
1915,Nathan,890
1922,Nathan,721
1945,Nathan,457
1980,Nathan,11173
1984,Nathan,10637
1935,Nathan,432
1951,Nathan,836
1917,Nathan,843
2016,Nathan,7960
1925,Nathan,592
1940,Nathan,450
2003,Nathan,13659
1999,Nathan,12534
1911,Nathan,325
1996,Nathan,10288
1979,Nathan,10757
1954,Nathan,934
1967,Nathan,1420
1998,Nathan,11584
2000,Nathan,13036
2007,Nathan,13589
1927,Nathan,604
1936,Nathan,421
1961,Nathan,1478
1914,Nathan,810
1970,Nathan,2548
1965,Nathan,1408
1926,Nathan,631
1944,Nathan,452
1939,Nathan,429
1930,Nathan,505
1956,Nathan,1071
2004,Nathan,14665
2011,Nathan,10501
1989,Nathan,10919
1910,Nathan,212
1973,Nathan,4749
1975,Nathan,7064
1966,Nathan,1404
1964,Nathan,1486
1995,Nathan,10304
1963,Nathan,1528
1972,Nathan,3522
2005,Nathan,14362
2002,Nathan,13226
1977,Nathan,9894
1988,Nathan,10160
1941,Nathan,480
1950,Nathan,716
1931,Nathan,420
1948,Nathan,579
1953,Nathan,796
1969,Nathan,1909
2001,Nathan,12645
1997,Nathan,10441
2008,Nathan,13253
1992,Nathan,10156
2013,Nathan,9709
1924,Nathan,634
1928,Nathan,499
1929,Nathan,471
1958,Nathan,1222
1952,Nathan,820
1993,Nathan,10192
1943,Nathan,555
2010,Nathan,11372
1946,Nathan,519
1971,Nathan,3050
1913,Nathan,578
1920,Nathan,779
1962,Nathan,1524
1921,Nathan,719
1994,Nathan,10393
1985,Nathan,10683
1949,Nathan,635
1955,Nathan,925
1957,Nathan,1210
1933,Nathan,384
1974,Nathan,5845
1976,Nathan,8616
2006,Nathan,14273
1934,Nathan,430
1916,Nathan,876
1960,Nathan,1616
2012,Nathan,10417
1990,Nathan,10936
1978,Nathan,9899
1937,Nathan,401
1959,Nathan,1353
1912,Nathan,544
2015,Nathan,8577
2009,Nathan,12119
1932,Nathan,443
2017,Nathan,7390
1987,Nathan,9927
1919,Nathan,817
2014,Nathan,8967
1918,Nathan,922
1947,Nathan,587
1983,Nathan,10589
1923,Nathan,718
1991,Nathan,10494
1968,Nathan,1642
1982,Nathan,10814
1986,Nathan,10003
1981,Nathan,11266
1976,Elizabeth,13579
1923,Elizabeth,15458
1990,Elizabeth,20802
1911,Elizabeth,6295
2016,Elizabeth,9542
1910,Elizabeth,5792
1950,Elizabeth,14349
1996,Elizabeth,16002
1931,Elizabeth,10299
2009,Elizabeth,11029
1930,Elizabeth,11009
1977,Elizabeth,16461
1973,Elizabeth,12365
1927,Elizabeth,12550
1994,Elizabeth,16796
1934,Elizabeth,9348
1915,Elizabeth,14103
1949,Elizabeth,13712
1917,Elizabeth,15127
2002,Elizabeth,14600
2004,Elizabeth,13608
1953,Elizabeth,16092
1929,Elizabeth,11272
1920,Elizabeth,15915
1940,Elizabeth,9956
1955,Elizabeth,16712
1971,Elizabeth,13627
