name,year,total_usage,peak_min,prev_max,post_max,is_peak
Andrew,1910,845,845,,4134,false
Andrew,1911,1066,845,,4134,false
Andrew,1912,1922,845,,4134,false
Andrew,1913,2204,845,,4134,false
Andrew,1914,2957,1066,845,4134,false
Andrew,1915,3562,1922,1066,4019,false
Andrew,1916,3716,2204,1922,4019,false
Andrew,1917,3739,2957,2204,4010,false
Andrew,1918,4134,3562,2957,3795,false
Andrew,1919,3855,3716,3562,3748,false
Andrew,1920,4019,3739,3716,3748,false
Andrew,1921,4010,3740,3739,3605,true
Andrew,1922,3795,3605,4134,3444,false
Andrew,1923,3740,3333,4134,3444,false
Andrew,1924,3748,3333,4134,3142,false
Andrew,1925,3605,3142,4134,3077,false
Andrew,1926,3333,3077,4134,3053,false
Andrew,1927,3444,3053,4019,2711,false
Andrew,1928,3142,2711,4019,2636,false
Andrew,1929,3077,2636,4010,2443,false
Andrew,1930,3053,2329,3795,2443,false
Andrew,1931,2711,2329,3748,2432,false
Andrew,1932,2636,2282,3748,2432,false
Andrew,1933,2329,2265,3605,2693,false
Andrew,1934,2443,2265,3444,3135,false
Andrew,1935,2282,2265,3444,3339,false
Andrew,1936,2265,2265,3142,3339,false
Andrew,1937,2389,2265,3077,3339,false
Andrew,1938,2395,2265,3053,3750,false
Andrew,1939,2432,2265,2711,4338,false
Andrew,1940,2424,2389,2636,4338,false
Andrew,1941,2693,2395,2443,4512,false
Andrew,1942,3135,2424,2443,4926,false
Andrew,1943,3339,2424,2432,5378,false
Andrew,1944,3046,2693,2432,5574,false
Andrew,1945,2995,2995,2693,5623,false
Andrew,1946,3750,2995,3135,5646,false
Andrew,1947,4338,2995,3339,6015,false
Andrew,1948,4303,2995,3339,6594,false
Andrew,1949,4512,3750,3339,6986,false
Andrew,1950,4926,4303,3750,7110,false
Andrew,1951,5378,4303,4338,7110,false
Andrew,1952,5574,4512,4338,8209,false
Andrew,1953,5623,4926,4512,8480,false
Andrew,1954,5646,5378,4926,8711,false
Andrew,1955,6015,5574,5378,9526,false
Andrew,1956,6594,5623,5574,10499,false
Andrew,1957,6986,5646,5623,10499,false
Andrew,1958,7110,6015,5646,10499,false
Andrew,1959,7092,6594,6015,10499,false
Andrew,1960,8209,6986,6594,10584,false
Andrew,1961,8480,7092,6986,11290,false
Andrew,1962,8711,7092,7110,12022,false
Andrew,1963,9526,8209,7110,12022,false
Andrew,1964,10499,8480,8209,12022,false
Andrew,1965,9686,8711,8480,12022,false
Andrew,1966,10242,9526,8711,12022,false
Andrew,1967,9981,9686,9526,12784,false
Andrew,1968,10584,9686,10499,13323,false
Andrew,1969,11290,9981,10499,16063,false
Andrew,1970,12022,9981,10499,16774,false
Andrew,1971,10942,10125,10499,18707,false
Andrew,1972,10125,10125,10584,19782,false
Andrew,1973,10740,10125,11290,20295,false
